Date,USA HPI,US Population (25-54),US Mortgage to Income,Unemployment,Credit Card Delinquency,Next Ohio HPI 1 Yr Out,Next Ohio HPI 2 Yr Out,Next Ohio HPI 3 Yr Out,Next Ohio HPI 4 Yr Out,Next Ohio HPI 5 Yr Out,Ohio HPI
1991-01-01,167.68,0.34540167696162083,6.216675,6.4,5.26,163.27168772313064,167.16954517248124,172.84716131430054,180.43369143165341,190.95126719394014,147.36
1992-01-01,172.82,0.5673648010188215,5.990278,7.3,5.27,168.02131010470217,174.28858007798118,183.30641099148383,193.6433553515016,206.34006930242316,154.3
1993-01-01,175.7,0.24605344744188518,5.77348,7.3,4.6,176.03936906807348,182.81611209378755,188.34033053246407,193.73806795047597,199.50046786628997,159.77
1994-01-01,181.42,0.4556898082265004,5.563705,6.6,3.6,176.64757559656726,185.29056381073568,192.09385089907965,199.6876067292596,208.44711136287756,167.4
1995-01-01,184.05,0.4778523577409821,5.648761,5.6,3.48,175.45824977034172,183.7391177373276,191.09417474407797,200.28164669830804,211.7171927897959,173.62
1996-01-01,193.57,0.053685512398482516,5.600129,5.6,4.04,190.34878703513098,198.70319959449373,205.52044157692862,212.3263984220203,219.10352732102353,184.83
1997-01-01,197.9,-0.28975205797806547,5.61989,5.3,4.7,199.3396046699336,207.41347473180952,214.44432960602313,220.42003652227112,225.08430045601477,192.27
1998-01-01,207.94,-0.4197694021531806,5.53176,4.6,4.76,208.8147490684388,217.8738182530606,226.56790401726377,233.94694585460087,239.50942130434447,201.26
1999-01-01,217.52,-0.5240311706933731,5.486907,4.3,4.66,217.0793265623975,226.55959032490904,235.2355779584658,242.16118638706794,246.59749829340083,210.04
2000-01-01,230.16,-0.6335915507882595,5.603787,4.0,4.43,224.97995964483704,233.50807583943202,239.82854197218893,244.1227012643737,245.4235146056613,216.13
2001-01-01,247.81,-0.1679245165915888,5.720924,4.2,4.81,230.28672917547544,239.87646070910046,251.3563009403584,261.79492361193775,270.568490597949,228.54
2002-01-01,262.76,-0.07715358365693037,5.818683,5.7,4.94,240.32165360314997,249.46604371389083,259.2891614904516,266.7068936918172,271.02308578952204,236.93
2003-01-01,279.77,-0.07750577987785112,5.876676,5.8,4.68,250.97962253809413,259.9428380274365,268.45305328938923,274.061055436015,275.84909336563305,244.26
2004-01-01,300.35,0.21815504350091164,5.850716,5.7,4.21,260.3112017962971,270.56808992184114,281.0506600156265,289.0807166200529,293.68716985027936,252.99
2005-01-01,333.76,0.4505884573737351,7.49597,5.3,3.7,255.6439811172598,253.5474146322997,247.41029290823167,241.61186152552466,235.67245169134227,262.39
2006-01-01,368.7,0.500875852450422,7.898613,4.7,3.86,273.5640241002635,269.6827883072083,262.66388549727196,256.2460893841052,249.81761368765527,267.31
2007-01-01,380.8,0.69015662308749,8.548444,4.6,3.98,270.4224878745207,262.12991346156474,250.77250296305476,241.39515804481567,233.73865872352513,266.74
2008-01-01,372.32,1.3036245818694558,8.911721,5.0,4.77,252.99206455049938,243.5249260365652,236.38415241231263,233.68097751940155,236.11876270384357,263.32
2009-01-01,350.81,1.4632004992654268,8.736014,7.8,6.51,245.79609685388067,238.1075396216853,236.57198250175722,237.697604464652,242.72105676631736,258.01
2010-01-01,326.23,1.3372469730075887,8.139607,9.8,5.78,239.28854880844676,234.24037937362255,230.47510529019885,227.02022543072576,224.81970122537152,243.93
2011-01-01,315.09,1.85770117047237,7.500138,9.1,3.82,227.18022798149647,227.05383571092784,227.3284401036617,229.79417455791554,235.40691049755486,236.82
2012-01-01,310.0,2.3679653478742013,6.805059,8.3,3.06,223.14378009475644,229.5999720528697,240.2840614932874,254.70504950984957,273.9383694239386,234.06
2013-01-01,316.71,2.2572797407453216,6.520457,8.0,2.64,232.04577128235766,240.5498085884031,252.29884706154624,267.06361731792697,285.546031989698,233.5
2014-01-01,331.44,1.7600343173506783,6.382673,6.6,2.32,248.99015109036927,257.9862964389473,268.18469142084484,280.3541898970565,294.48661541709373,235.39
2015-01-01,349.34,1.3596254906449445,6.116055,5.7,2.11,269.47944801321273,280.33748160736457,291.10995811854025,302.3680249584315,313.392058958298,245.67
2016-01-01,366.27,2.4048249045696357,6.090748,4.8,2.14,265.7263406367389,280.3677243645568,303.6769723356074,331.21475638612594,363.068012280042,254.0
2017-01-01,385.47,2.6851863319487634,5.979369,4.7,2.39,277.30538392839867,294.46722807916774,323.76309977313144,357.5223257017805,395.86760433423785,264.59
2018-01-01,409.15,2.1996600792014265,5.924021,4.0,2.48,301.12063330524154,318.533463729116,346.45862990636033,377.02786164828905,409.64577353949903,280.27
2019-01-01,427.96,2.5594947084763175,5.844992,4.0,2.51,310.40123400582524,330.04571798725755,363.1594788659576,399.4128576819414,438.29816866235694,294.28
2020-01-01,449.73,2.733059547761729,5.915147,3.6,2.66,322.15660122166713,342.6187942158716,378.83718808006824,418.5640861778235,461.27137503580343,312.38
2021-01-01,483.77,2.807644097529449,4.78471,6.4,1.86,362.4192607521495,392.09908793737037,434.6869036928246,475.73099407925554,513.6356010578206,336.69
2022-01-01,578.15,2.693374144564298,5.667339,4.0,1.67,414.78411593163594,440.42383414133354,479.12722088666897,516.593403538767,550.4600646342566,392.35
2023-01-01,624.81,2.6844684175542533,5.691535,3.4,2.45,448.6878145942392,476.4430807921378,521.253121619909,563.8644251326227,601.5283729985782,426.95
