Date,USA HPI,Ohio Housing Permits,US New Listings,US Mortgage to Income,Unemployment,Credit Card Delinquency,Next Ohio HPI 1 Yr Out,Next Ohio HPI 2 Yr Out,Next Ohio HPI 3 Yr Out,Next Ohio HPI 4 Yr Out,Next Ohio HPI 5 Yr Out,Ohio HPI
1991-01-01,167.68,1933.0,9.4,6.216675,6.4,5.26,161.3426232249065,166.32980226653373,174.4328653473478,182.53934572818113,193.66011748609196,147.36
1992-01-01,172.82,2150.0,5.2,5.990278,7.3,5.27,179.21474014826487,183.2505634206569,184.78283799193727,185.71518361281568,185.4180666400951,154.3
1993-01-01,175.7,2071.0,5.4,5.77348,7.3,4.6,176.48986080851003,183.1982648170509,188.3458537157444,193.19137954151995,198.47497018646413,159.77
1994-01-01,181.42,2037.0,5.9,5.563705,6.6,3.6,173.4195179292704,182.97910408863555,192.03639375281733,201.47634139371075,213.6437732226296,167.4
1995-01-01,184.05,2154.0,6.8,5.648761,5.6,3.48,172.8152273204858,182.13220517664382,191.6550325945176,201.73214211502736,215.41273159196624,173.62
1996-01-01,193.57,2030.0,6.4,5.600129,5.6,4.04,184.48375088208454,194.1764910145405,205.46628424148844,217.29011091601635,230.2455002969116,184.83
1997-01-01,197.9,2315.0,4.7,5.61989,5.3,4.7,199.46221265143504,207.28640970595347,214.401666381248,221.30093094378054,225.8933765190386,192.27
1998-01-01,207.94,2611.0,4.0,5.53176,4.6,4.76,211.44603946787208,219.71924846009102,226.58014316740173,232.59952895612255,235.4171433255211,201.26
1999-01-01,217.52,2314.0,3.9,5.486907,4.3,4.66,216.97119431425529,225.962011718059,235.04889315854493,244.34479467092666,249.09988633708593,210.04
2000-01-01,230.16,2415.0,4.3,5.603787,4.0,4.43,221.15987454269919,230.05704305312892,239.1389904665581,248.32566974486355,254.2549535288424,216.13
2001-01-01,247.81,2686.0,3.8,5.720924,4.2,4.81,235.62258863386825,243.88524010766338,251.56657068500604,258.180900751579,261.2058613566209,228.54
2002-01-01,262.76,2948.0,4.2,5.818683,5.7,4.94,240.5233666223006,249.7119561722361,258.2277861410638,263.67608731468823,268.6805008910374,236.93
2003-01-01,279.77,3276.0,4.0,5.876676,5.8,4.68,249.2761449109119,258.8553078801333,266.66305566325354,270.3550179282796,275.4336712048707,244.26
2004-01-01,300.35,2280.0,3.8,5.850716,5.7,4.21,256.2088088990248,266.968612755646,279.49708468852384,291.2232959401178,301.485669729265,252.99
2005-01-01,333.76,2468.0,4.4,7.49597,5.3,3.7,256.7599231676634,254.19096692955162,245.98168549881487,238.4589596903702,232.59347571150195,262.39
2006-01-01,368.7,2661.0,5.3,7.898613,4.7,3.86,274.0618168232696,270.05754394712756,261.26869613996536,252.68658020230026,246.9310485154486,267.31
2007-01-01,380.8,2125.0,7.2,8.548444,4.6,3.98,268.87897344101594,260.8775368604425,249.97329342587543,241.21444553762976,235.86032096300934,266.74
2008-01-01,372.32,1452.0,9.3,8.911721,5.0,4.77,257.27971308221504,247.02494170457436,237.72330099915564,232.07568591036932,228.86891167908885,263.32
2009-01-01,350.81,773.0,12.2,8.736014,7.8,6.51,242.1342227544941,235.53186756639133,237.9483388249118,242.77907175916,250.43211380086484,258.01
2010-01-01,326.23,878.0,8.1,8.139607,9.8,5.78,236.44056702785184,231.6855399889772,229.8858147979559,229.89450607043935,231.20730787770452,243.93
2011-01-01,315.09,687.0,7.3,7.500138,9.1,3.82,223.3536788391113,223.81475045523143,226.8882733965543,233.50906660624491,243.52439242399453,236.82
2012-01-01,310.0,1081.0,5.3,6.805059,8.3,3.06,229.9378659293177,234.94051132965632,240.91673105991492,249.77828756712148,261.3588393574702,234.06
2013-01-01,316.71,1677.0,4.0,6.520457,8.0,2.64,239.6575378311498,246.68180405177594,252.23507801774502,259.0589994444282,269.61463785898434,233.5
2014-01-01,331.44,920.0,5.1,6.382673,6.6,2.32,244.5416401661179,254.0635168558452,267.61290271172487,285.3051610165246,304.6212335569304,235.39
2015-01-01,349.34,1031.0,4.8,6.116055,5.7,2.11,259.1813087225505,271.64408428164074,289.6926853380857,311.7202285657594,334.78941632616477,245.67
2016-01-01,366.27,990.0,5.6,6.090748,4.8,2.14,268.94417900281934,282.8720642704318,305.04156304877597,331.42659196261155,358.7473023101443,254.0
2017-01-01,385.47,2037.0,5.4,5.979369,4.7,2.39,286.9630005083021,302.8344159999014,325.35987653157247,348.31159966440214,375.11287082318074,264.59
2018-01-01,409.15,1487.0,6.0,5.924021,4.0,2.48,300.37761509371205,318.1783276704544,347.20005666543085,378.29114474830897,411.03255212095576,280.27
2019-01-01,427.96,1095.0,7.0,5.844992,4.0,2.51,308.0520072545279,328.47986745103356,364.398245548072,403.0589416967084,443.31935435811647,294.28
2020-01-01,449.73,2624.0,5.7,5.915147,3.6,2.66,330.86586034846187,350.60779530946775,380.1570253888101,407.81563547165825,440.1753914555128,312.38
2021-01-01,483.77,1573.0,4.1,4.78471,6.4,1.86,350.69990451469766,383.1116565408645,432.5964903680016,480.8577025785429,532.7966530715692,336.69
2022-01-01,578.15,2169.0,5.9,5.667339,4.0,1.67,398.3189734463374,428.1399855931782,476.5779347941613,523.000139694037,576.2222491803416,392.35
2023-01-01,624.81,1150.0,8.3,5.691535,3.4,2.45,422.7073492642039,456.29612881063446,519.0586475878301,581.8699160106396,648.5810247388893,426.95
2024-01-01,664.85,2129.0,8.3,5.903333,3.7,3.15,452.11583761208465,485.868738082839,547.68068040064,605.5619784202466,669.8109516250906,460.44
