Date,USA HPI,Ohio Housing Permits,US Mortgage to Income,Credit Card Delinquency,Next Ohio HPI 1 Yr Out,Next Ohio HPI 2 Yr Out,Next Ohio HPI 3 Yr Out,Next Ohio HPI 4 Yr Out,Next Ohio HPI 5 Yr Out,Ohio HPI
1991-01-01,167.68,1933.0,6.216675,5.26,168.98126503287398,171.7845593608516,173.3837962506446,175.17074366394803,176.90454044193172,147.36
1992-01-01,172.82,2150.0,5.990278,5.27,177.455085202123,182.06343460249357,185.69347797027586,188.87417253623073,191.43390438405498,154.3
1993-01-01,175.7,2071.0,5.77348,4.6,177.26191815773814,183.87762326343244,189.47323561297634,195.14131700583775,200.75651550137724,159.77
1994-01-01,181.42,2037.0,5.563705,3.6,177.3861726871963,185.9135283945576,192.472662566016,199.79323720142537,208.10451469009234,167.4
1995-01-01,184.05,2154.0,5.648761,3.48,178.59652580030564,186.25371822975137,190.79443440819887,196.0096939586406,202.51661335792048,173.62
1996-01-01,193.57,2030.0,5.600129,4.04,186.9370588527346,195.8559480704194,204.4313859957472,213.39864630892922,222.61467262264352,184.83
1997-01-01,197.9,2315.0,5.61989,4.7,196.2983734823698,204.8744799583128,213.3657873075237,221.14048468710882,228.0945354613874,192.27
1998-01-01,207.94,2611.0,5.53176,4.76,207.28317826720166,216.5559068786734,225.31529409322485,232.60279148343744,238.62957525519204,201.26
1999-01-01,217.52,2314.0,5.486907,4.66,209.95620249257286,220.62392840189915,232.84597632675502,244.1941424144934,254.2829305582234,210.04
2000-01-01,230.16,2415.0,5.603787,4.43,216.2233823904645,226.22652073573414,236.87511669609717,246.66046900846206,255.60226791168145,216.13
2001-01-01,247.81,2686.0,5.720924,4.81,230.95769183092852,240.36399769940635,250.37647874925926,258.6811422585103,265.5382440107742,228.54
2002-01-01,262.76,2948.0,5.818683,4.94,242.72982495035308,251.53193957038528,260.2787434848603,266.69050192652077,271.42705197725894,236.93
2003-01-01,279.77,3276.0,5.876676,4.68,254.80400092395757,263.2207875711591,269.93107958426083,273.8210146421964,276.2871269985112,244.26
2004-01-01,300.35,2280.0,5.850716,4.21,254.25679012072982,265.67900894865556,280.770281256416,295.3022255211664,309.0067758804645,252.99
2005-01-01,333.76,2468.0,7.49597,3.7,253.98267969484425,252.18226199977192,246.11769407905956,240.60186301910676,237.8945247620524,262.39
2006-01-01,368.7,2661.0,7.898613,3.86,273.8729364105233,269.9112349100617,261.18452913112225,252.62822643544524,246.99050671721585,267.31
2007-01-01,380.8,2125.0,8.548444,3.98,268.1254593085949,260.1423154121536,248.17763490679445,237.7921669457494,231.392570863112,266.74
2008-01-01,372.32,1452.0,8.911721,4.77,255.34197129287207,245.2809364570294,234.51878031303465,226.36243463037414,221.93413041909508,263.32
2009-01-01,350.81,773.0,8.736014,6.51,246.39724246567653,238.58350076753993,237.43424515965773,238.8226988054252,241.3110954617815,258.01
2010-01-01,326.23,878.0,8.139607,5.78,235.45178325686214,231.26669641933267,232.78884846504303,236.89405522290605,242.2945476197062,243.93
2011-01-01,315.09,687.0,7.500138,3.82,223.1794537991048,223.8967343564919,228.90056552628857,238.0212117761674,250.31470679112098,236.82
2012-01-01,310.0,1081.0,6.805059,3.06,228.66277516190496,234.24099039332557,243.12475701825727,255.44969858766893,270.7074915924979,234.06
2013-01-01,316.71,1677.0,6.520457,2.64,240.60899547637536,247.73716102681163,255.72589199011506,266.0532153149942,279.19899145650237,233.5
2014-01-01,331.44,920.0,6.382673,2.32,241.29378986819665,251.70052151088737,267.6379228194616,287.5183480238353,310.3885790071969,235.39
2015-01-01,349.34,1031.0,6.116055,2.11,255.81006338105982,269.13170283471607,289.1444024262334,312.76290031423304,338.92516193077034,245.67
2016-01-01,366.27,990.0,6.090748,2.14,266.409528324569,280.8502928948654,303.3494878312267,329.4143619844839,357.73200168772127,254.0
2017-01-01,385.47,2037.0,5.979369,2.39,292.81529869176654,307.20157196924004,326.3675283665617,346.62362410199154,368.11347705112536,264.59
2018-01-01,409.15,1487.0,5.924021,2.48,302.6899587184999,319.7734287524181,346.3416111206172,374.8788701988059,404.21721684780334,280.27
2019-01-01,427.96,1095.0,5.844992,2.51,311.2305939575784,330.6652686096318,363.1483505443065,398.21574202197075,433.72572874088456,294.28
2020-01-01,449.73,2624.0,5.915147,2.66,341.7822548482536,358.7532414700449,382.03000249374486,404.6525760909898,427.09798513894583,312.38
2021-01-01,483.77,1573.0,4.78471,1.86,360.81254653945734,391.0786726882153,438.39024533117407,486.79473690739974,533.7625216751585,336.69
2022-01-01,578.15,2169.0,5.667339,1.67,414.37939400932345,440.2909909873459,480.9448202795155,521.866921912545,562.1755150300959,392.35
2023-01-01,624.81,1150.0,5.691535,2.45,436.32136850669366,466.416458890841,521.02845925162,577.1255720101665,631.0923872033429,426.95
2024-01-01,664.85,2129.0,5.903333,3.15,473.5395166968317,502.00990570475454,552.8548516939238,602.6280516311485,648.9753464063906,460.44
