,Date,Ohio HPI,USA HPI,Ohio Housing Permits,US New Listings,US Mortgage to Income,Unemployment,Credit Card Delinquency
0,1948-01-01,,,,,,3.4,
1,1949-01-01,,,,,,4.3,
2,1950-01-01,,,,,,6.5,
3,1951-01-01,,,,,,3.7,
4,1952-01-01,,,,,,3.2,
5,1953-01-01,,,,,,2.9,
6,1954-01-01,,,,,,4.9,
7,1955-01-01,,,,,,4.9,
8,1956-01-01,,,,,,4.0,
9,1957-01-01,,,,,,4.2,
10,1958-01-01,,,,,,5.8,
11,1959-01-01,,,,,,6.0,
12,1960-01-01,,,,,,5.2,
13,1961-01-01,,,,,,6.6,
14,1962-01-01,,,,,,5.8,
15,1963-01-01,,,,4.7,,5.7,
16,1964-01-01,,,,5.8,,5.6,
17,1965-01-01,,,,5.6,,4.9,
18,1966-01-01,,,,4.7,,4.0,
19,1967-01-01,,,,5.7,,3.9,
20,1968-01-01,,,,4.7,,3.7,
21,1969-01-01,,,,5.5,,3.4,
22,1970-01-01,,,,5.5,,3.9,
23,1971-01-01,,,,4.3,,5.9,
24,1972-01-01,,,,5.2,,5.8,
25,1973-01-01,,,,6.5,,4.9,
26,1974-01-01,,,,9.7,,5.1,
27,1975-01-01,65.13,60.03,,9.9,,8.1,
28,1976-01-01,66.56,62.78,,6.4,,7.9,
29,1977-01-01,73.18,69.53,,5.3,,7.5,
30,1978-01-01,83.3,79.57,,5.9,,6.4,
31,1979-01-01,95.76,91.41,,6.6,,5.9,
32,1980-01-01,100.0,100.0,,7.9,4.372891,6.3,
33,1981-01-01,103.33,105.19,,8.0,4.598035,7.5,
34,1982-01-01,89.15,106.14,,8.9,4.89099,8.6,
35,1983-01-01,102.36,114.43,,5.4,4.849154,10.4,
36,1984-01-01,106.12,119.43,,5.3,4.900392,8.0,
37,1985-01-01,108.18,124.9,,6.7,5.226777,7.3,
38,1986-01-01,113.04,132.72,,5.7,5.503128,6.7,
39,1987-01-01,120.21,142.46,,6.0,5.727013,6.6,
40,1988-01-01,128.52,149.59,1342.0,7.5,5.746887,5.7,
41,1989-01-01,135.23,157.4,1887.0,6.2,5.760173,5.4,
42,1990-01-01,142.05,165.24,3595.0,7.0,6.019675,5.4,
43,1991-01-01,147.36,167.68,1933.0,9.4,6.216675,6.4,5.26
44,1992-01-01,154.3,172.82,2150.0,5.2,5.990278,7.3,5.27
45,1993-01-01,159.77,175.7,2071.0,5.4,5.77348,7.3,4.6
46,1994-01-01,167.4,181.42,2037.0,5.9,5.563705,6.6,3.6
47,1995-01-01,173.62,184.05,2154.0,6.8,5.648761,5.6,3.48
48,1996-01-01,184.83,193.57,2030.0,6.4,5.600129,5.6,4.04
49,1997-01-01,192.27,197.9,2315.0,4.7,5.61989,5.3,4.7
50,1998-01-01,201.26,207.94,2611.0,4.0,5.53176,4.6,4.76
51,1999-01-01,210.04,217.52,2314.0,3.9,5.486907,4.3,4.66
52,2000-01-01,216.13,230.16,2415.0,4.3,5.603787,4.0,4.43
53,2001-01-01,228.54,247.81,2686.0,3.8,5.720924,4.2,4.81
54,2002-01-01,236.93,262.76,2948.0,4.2,5.818683,5.7,4.94
55,2003-01-01,244.26,279.77,3276.0,4.0,5.876676,5.8,4.68
56,2004-01-01,252.99,300.35,2280.0,3.8,5.850716,5.7,4.21
57,2005-01-01,262.39,333.76,2468.0,4.4,7.49597,5.3,3.7
58,2006-01-01,267.31,368.7,2661.0,5.3,7.898613,4.7,3.86
59,2007-01-01,266.74,380.8,2125.0,7.2,8.548444,4.6,3.98
60,2008-01-01,263.32,372.32,1452.0,9.3,8.911721,5.0,4.77
61,2009-01-01,258.01,350.81,773.0,12.2,8.736014,7.8,6.51
62,2010-01-01,243.93,326.23,878.0,8.1,8.139607,9.8,5.78
63,2011-01-01,236.82,315.09,687.0,7.3,7.500138,9.1,3.82
64,2012-01-01,234.06,310.0,1081.0,5.3,6.805059,8.3,3.06
65,2013-01-01,233.5,316.71,1677.0,4.0,6.520457,8.0,2.64
66,2014-01-01,235.39,331.44,920.0,5.1,6.382673,6.6,2.32
67,2015-01-01,245.67,349.34,1031.0,4.8,6.116055,5.7,2.11
68,2016-01-01,254.0,366.27,990.0,5.6,6.090748,4.8,2.14
69,2017-01-01,264.59,385.47,2037.0,5.4,5.979369,4.7,2.39
70,2018-01-01,280.27,409.15,1487.0,6.0,5.924021,4.0,2.48
71,2019-01-01,294.28,427.96,1095.0,7.0,5.844992,4.0,2.51
72,2020-01-01,312.38,449.73,2624.0,5.7,5.915147,3.6,2.66
73,2021-01-01,336.69,483.77,1573.0,4.1,4.78471,6.4,1.86
74,2022-01-01,392.35,578.15,2169.0,5.9,5.667339,4.0,1.67
75,2023-01-01,426.95,624.81,1150.0,8.3,5.691535,3.4,2.45
76,2024-01-01,460.44,664.85,2129.0,8.3,5.903333,3.7,3.15
